Activity ID,Activity Name,Original Duration,wbs_id,pred_list,pred_details,succ_list,succ_details,start_date,end_date,Duration
HC-GN-0010,Issue ICR-Planning Package,8,P2543-R01-Oct24..1.PM.2,ML1002,ML1002: FS 4,"HC-GN-0190, HC-GN-0070, HC-GN-0020","HC-GN-0190: FS, HC-GN-0070: SS, HC-GN-0020: FS",2023-07-31 00:00:00,2023-08-10 00:00:00,10
HC-GN-0020,Receive Company Comments-Planning Package,7,P2543-R01-Oct24..1.PM.2,HC-GN-0010,HC-GN-0010: FS,HC-GN-0030,HC-GN-0030: FS,2023-08-06 00:00:00,2023-08-16 00:00:00,10
HC-GN-0030,Re-Issue for Approval-Planning Package,4,P2543-R01-Oct24..1.PM.2,HC-GN-0020,HC-GN-0020: FS,HC-GN-0040,HC-GN-0040: FS,2023-08-20 00:00:00,2023-08-25 00:00:00,5
HC-GN-0040,Obtain Company Approval-Planning Package,5,P2543-R01-Oct24..1.PM.2,HC-GN-0030,HC-GN-0030: FS,HC-GN-0050,HC-GN-0050: FS,2023-08-26 00:00:00,2023-09-04 00:00:00,9
HC-GN-0050,Final Issue for Design/ Construction-Planning Package,43,P2543-R01-Oct24..1.PM.2,HC-GN-0040,HC-GN-0040: FS,"HE-WS-0030, ML1002-A02, CAB-5300","HE-WS-0030: FS, ML1002-A02: FS, CAB-5300: FS",2023-08-28 00:00:00,2023-10-26 00:00:00,59
HC-GN-0070,"Issue ICR-Project Procedure (PEP, Numbering Procedure etc.)",21,P2543-R01-Oct24..1.PM.3,HC-GN-0010,HC-GN-0010: SS,HC-GN-0080,HC-GN-0080: FS,2023-07-24 00:00:00,2023-08-22 00:00:00,29
HC-GN-0080,"Receive Company Comments-Project Procedure (PEP, Numbering Procedure etc.)",36,P2543-R01-Oct24..1.PM.3,HC-GN-0070,HC-GN-0070: FS,HC-GN-0090,HC-GN-0090: FS,2023-08-21 00:00:00,2023-10-10 00:00:00,50
HC-GN-0090,"Re-Issue for Approval-Project Procedure (PEP, Numbering Procedure etc.)",127,P2543-R01-Oct24..1.PM.3,HC-GN-0080,HC-GN-0080: FS,HC-GN-0100,HC-GN-0100: FS,2023-09-10 00:00:00,2024-03-08 00:00:00,180
HC-GN-0100,"Obtain Company Approval-Project Procedure (PEP, Numbering Procedure etc.)",125,P2543-R01-Oct24..1.PM.3,HC-GN-0090,HC-GN-0090: FS,"ML1003-A03, HC-GN-0110","ML1003-A03: FF, HC-GN-0110: FS",2023-09-20 00:00:00,2024-03-17 00:00:00,179
HC-GN-0110,"Final Issue for Design/ Construction-Project Procedure (PEP, Numbering Procedure)",14,P2543-R01-Oct24..1.PM.3,HC-GN-0100,HC-GN-0100: FS,"HE-WS-0030, ML1001-A01, CAB-5300","HE-WS-0030: FS, ML1001-A01: FS, CAB-5300: FS",2024-03-18 00:00:00,2024-04-13 00:00:00,26
HE-WS-0070,Lesson Learned Workshop,0,P2543-R01-Oct24..1.PM.12,ML1002,ML1002: SS 45,HE-WS-0010,HE-WS-0010: FS 15,2023-08-31 00:00:00,2023-08-31 00:00:00,1
HE-WS-0010,Project Risk Review Workshop,0,P2543-R01-Oct24..1.PM.12,"HE-SS-0020, HE-WS-0070","HE-SS-0020: FS 15, HE-WS-0070: FS 15","HE-WS-0050, HE-RR-0010, C-COM-790, CAB-5290","HE-WS-0050: FS, HE-RR-0010: FS, C-COM-790: FS, CAB-5290: FS",2023-09-28 00:00:00,2023-09-28 00:00:00,1
