Activity ID,Activity Name,Original Duration,Remaining Duration,Baseline Start,Baseline Finish,Start,Finish,Total Float,task_code,status_code,wbs_id,task_name,pred_list,pred_details,succ_list,succ_details,start_date,end_date,delete_record_flag_x,predtask__projwbs__wbs_full_name,task__projwbs__wbs_full_name,predtask__task_name,task__task_name,pred_task_id,task_id,pred_type,PREDTASK__status_code,TASK__status_code,lag_hr_cnt,delete_record_flag_y,Delay_Duration,Delay_Status,Predecessor_Count,Successor_Count
HC-GN-0010,Issue ICR-Planning Package,8,0,2023-07-31,2023-08-10,31-Jul-23 A,10-Aug-23 A,,HC-GN-0010,Completed,P2543-R01-Oct24..1.PM.2,Issue ICR-Planning Package,ML1002,ML1002: FS 4,"HC-GN-0190, HC-GN-0070, HC-GN-0020","HC-GN-0190: FS, HC-GN-0070: SS, HC-GN-0020: FS",2023-07-31 00:00:00,2023-08-10 00:00:00,,P2543-R01-Oct24..ML Milestones,P2543-R01-Oct24..1.PM.2 Planning Package,Project Kick off Meeting,Issue ICR-Planning Package,ML1002,HC-GN-0010,FS,Completed,Completed,4,,0,2,1,3
HC-GN-0020,Receive Company Comments-Planning Package,7,0,2023-08-06,2023-08-16,06-Aug-23 A,16-Aug-23 A,,HC-GN-0020,Completed,P2543-R01-Oct24..1.PM.2,Receive Company Comments-Planning Package,HC-GN-0010,HC-GN-0010: FS,HC-GN-0030,HC-GN-0030: FS,2023-08-06 00:00:00,2023-08-16 00:00:00,,P2543-R01-Oct24..1.PM.2 Planning Package,P2543-R01-Oct24..1.PM.2 Planning Package,Issue ICR-Planning Package,Receive Company Comments-Planning Package,HC-GN-0010,HC-GN-0020,FS,Completed,Completed,0,,0,2,1,1
HC-GN-0030,Re-Issue for Approval-Planning Package,4,0,2023-08-20,2023-08-25,20-Aug-23 A,25-Aug-23 A,,HC-GN-0030,Completed,P2543-R01-Oct24..1.PM.2,Re-Issue for Approval-Planning Package,HC-GN-0020,HC-GN-0020: FS,HC-GN-0040,HC-GN-0040: FS,2023-08-20 00:00:00,2023-08-25 00:00:00,,P2543-R01-Oct24..1.PM.2 Planning Package,P2543-R01-Oct24..1.PM.2 Planning Package,Receive Company Comments-Planning Package,Re-Issue for Approval-Planning Package,HC-GN-0020,HC-GN-0030,FS,Completed,Completed,0,,0,2,1,1
HC-GN-0040,Obtain Company Approval-Planning Package,5,0,2023-08-26,2023-09-04,26-Aug-23 A,04-Sep-23 A,,HC-GN-0040,Completed,P2543-R01-Oct24..1.PM.2,Obtain Company Approval-Planning Package,HC-GN-0030,HC-GN-0030: FS,HC-GN-0050,HC-GN-0050: FS,2023-08-26 00:00:00,2023-09-04 00:00:00,,P2543-R01-Oct24..1.PM.2 Planning Package,P2543-R01-Oct24..1.PM.2 Planning Package,Re-Issue for Approval-Planning Package,Obtain Company Approval-Planning Package,HC-GN-0030,HC-GN-0040,FS,Completed,Completed,0,,0,2,1,1
HC-GN-0050,Final Issue for Design/ Construction-Planning Package,43,0,2023-08-28,2023-10-26,28-Aug-23 A,26-Oct-23 A,,HC-GN-0050,Completed,P2543-R01-Oct24..1.PM.2,Final Issue for Design/ Construction-Planning Package,HC-GN-0040,HC-GN-0040: FS,"HE-WS-0030, ML1002-A02, CAB-5300","HE-WS-0030: FS, ML1002-A02: FS, CAB-5300: FS",2023-08-28 00:00:00,2023-10-26 00:00:00,,P2543-R01-Oct24..1.PM.2 Planning Package,P2543-R01-Oct24..1.PM.2 Planning Package,Obtain Company Approval-Planning Package,Final Issue for Design/ Construction-Planning Package,HC-GN-0040,HC-GN-0050,FS,Completed,Completed,0,,0,2,1,3
HC-GN-0070,"Issue ICR-Project Procedure (PEP, Numbering Procedure etc.)",21,0,2023-07-24,2023-08-22,24-Jul-23 A,22-Aug-23 A,,HC-GN-0070,Completed,P2543-R01-Oct24..1.PM.3,"Issue ICR-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0010,HC-GN-0010: SS,HC-GN-0080,HC-GN-0080: FS,2023-07-24 00:00:00,2023-08-22 00:00:00,,P2543-R01-Oct24..1.PM.2 Planning Package,"P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)",Issue ICR-Planning Package,"Issue ICR-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0010,HC-GN-0070,SS,Completed,Completed,0,,0,2,1,1
HC-GN-0080,"Receive Company Comments-Project Procedure (PEP, Numbering Procedure etc.)",36,0,2023-08-21,2023-10-10,21-Aug-23 A,10-Oct-23 A,,HC-GN-0080,Completed,P2543-R01-Oct24..1.PM.3,"Receive Company Comments-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0070,HC-GN-0070: FS,HC-GN-0090,HC-GN-0090: FS,2023-08-21 00:00:00,2023-10-10 00:00:00,,"P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","Issue ICR-Project Procedure (PEP, Numbering Procedure etc.)","Receive Company Comments-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0070,HC-GN-0080,FS,Completed,Completed,0,,0,2,1,1
HC-GN-0090,"Re-Issue for Approval-Project Procedure (PEP, Numbering Procedure etc.)",127,0,2023-09-10,2024-03-08,10-Sep-23 A,08-Mar-24 A,,HC-GN-0090,Completed,P2543-R01-Oct24..1.PM.3,"Re-Issue for Approval-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0080,HC-GN-0080: FS,HC-GN-0100,HC-GN-0100: FS,2023-09-10 00:00:00,2024-03-08 00:00:00,,"P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","Receive Company Comments-Project Procedure (PEP, Numbering Procedure etc.)","Re-Issue for Approval-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0080,HC-GN-0090,FS,Completed,Completed,0,,0,2,1,1
HC-GN-0100,"Obtain Company Approval-Project Procedure (PEP, Numbering Procedure etc.)",125,0,2023-09-20,2024-03-17,20-Sep-23 A,17-Mar-24 A,,HC-GN-0100,Completed,P2543-R01-Oct24..1.PM.3,"Obtain Company Approval-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0090,HC-GN-0090: FS,"ML1003-A03, HC-GN-0110","ML1003-A03: FF, HC-GN-0110: FS",2023-09-20 00:00:00,2024-03-17 00:00:00,,"P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","Re-Issue for Approval-Project Procedure (PEP, Numbering Procedure etc.)","Obtain Company Approval-Project Procedure (PEP, Numbering Procedure etc.)",HC-GN-0090,HC-GN-0100,FS,Completed,Completed,0,,0,2,1,2
HC-GN-0110,"Final Issue for Design/ Construction-Project Procedure (PEP, Numbering Procedure)",14,0,2024-03-18,2024-04-13,18-Mar-24 A,13-Apr-24 A,,HC-GN-0110,Completed,P2543-R01-Oct24..1.PM.3,"Final Issue for Design/ Construction-Project Procedure (PEP, Numbering Procedure)",HC-GN-0100,HC-GN-0100: FS,"HE-WS-0030, ML1001-A01, CAB-5300","HE-WS-0030: FS, ML1001-A01: FS, CAB-5300: FS",2024-03-18 00:00:00,2024-04-13 00:00:00,,"P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","P2543-R01-Oct24..1.PM.3 Project Procedure (PEP, Numbering Procedure)","Obtain Company Approval-Project Procedure (PEP, Numbering Procedure etc.)","Final Issue for Design/ Construction-Project Procedure (PEP, Numbering Procedure)",HC-GN-0100,HC-GN-0110,FS,Completed,Completed,0,,0,2,1,3
