,Activity ID,Activity Name,Original Duration,Remaining Duration,Baseline Start,Baseline Finish,Start,Finish,Total Float
3217,C-COM-770,Re-Issue for Approval-Construction Procedures / Method Statements / ITPs,30,30,2024-08-20,2024-09-24,2024-11-19 00:00:00,2024-12-26 00:00:00,120.0
7736,C-52-598-04-EI-2210,"Pre-Fabrication & Installation of Field Instrument, JB Supports",14,14,2025-04-15,2025-05-01,2025-04-09 00:00:00,2025-04-25 00:00:00,89.0
3486,"Split Tee Welding (42"" X 42"")CCOHBHT395",,7,7,2025-06-12,2025-06-20,2025-07-18 00:00:00,2025-07-26 00:00:00,19.0
7428,C-52-598-02-CI-1210,Compaction & Testing for Pipe Support Foundations,5,5,2024-10-28,2024-11-01,2025-01-14 00:00:00,2025-01-18 00:00:00,43.0
589,HE-PL-3440,Obtain Company Approval - MR for Anchor Flanges,16,0,2024-08-26,2024-09-06,27-Jun-24 A,21-Jul-24 A,
8432,Backfilling for CablesCCOH52CS61,,30,30,2025-09-08,2025-10-13,2025-09-12 00:00:00,2025-10-17 00:00:00,7.0
7767,C-52-598-05-CI-1400,Concrete Works for Equipment Foundations & Hard Stand Area,21,21,2025-03-17,2025-04-17,2025-01-17 00:00:00,2025-02-10 00:00:00,166.0
2573,HM-ME-0030,Factory Acceptance Test of Custody Metering Skid,14,14,2025-03-31,2025-04-13,2025-03-31 00:00:00,2025-04-13 00:00:00,152.0
4079,C-56-HC01-CMA01-1030,Section Tie-in Welding,2,2,2025-01-23,2025-01-24,2025-03-13 00:00:00,2025-03-15 00:00:00,89.0
4938,C-52-HG01-CMA01-0980,Sabkha Gatch Laying,7,7,2024-11-22,2024-11-30,2024-11-20 00:00:00,2024-11-27 00:00:00,108.0
